Kottonmouth Kings	B.B. King Blues Club & Grill	243 W 42nd St,	New York, NY, 10036	Sep 15, 7:00 PM	12 years of touring under their belts, over 2 million records sold, over 1 million tickets purchased, over 1 million miles traveled, and over 2,400 quality shows delivered.	http://www.nyc.com/events/kottonmouth_kings.1062871/editorial_review.aspx	88.0
Jackson Browne	Beacon Theatre	2124 Broadway,	New York, NY, 10023	Sep 15, 8:00 PM	Singer-songwriter Jackson Browne will take the stage at the Beacon Theatre with his band and longtime friend and musical co-conspirator David Lindley on September 14 & 15.    The tour follows the release of Love Is Strange, a 2-CD live set capturing a tour of Spain that Browne and Lindley did in 2006.    Accompanying Jackson Browne and David Lindley on tour will be Browne's band of almost 20 years read more...	http://www.nyc.com/events/jackson_browne.1054068/editorial_review.aspx	93.0
Vampire Weekend	Radio City Music Hall	1260 Avenue Of The Americas,	New York, NY, 10020	Sep 15, 8:00 PM	Vampire Weekend have graced magazine covers, played numerous sold-out shows across the world, performed on Saturday Night Live, The Late Show With David Letterman, Jimmy Kimmel Live!, and Late Night With Conan O'Brien.	http://www.nyc.com/events/vampire_weekend.1046288/editorial_review.aspx	4.0
Billy Idol	Hammerstein Ballroom	311 W 34th Street,	New York, NY, 10001	Sep 15, 8:30 PM	Combining pretty boy and bad boy with a deftness not seen since Elvis, Billy Idol launched to stardom in the early 80s owing to hits like "White Wedding" and "Dancing With Myself."	http://www.nyc.com/events/billy_idol.1055514/editorial_review.aspx	49.0
Music Manuscripts & Printed Music - Morgan Library & Museum	Morgan Library and Museum	225 Madison Avenue,	New York, NY, 10016	Sep 15, 10:30 AM	The Morgan Library & Museum houses one of the finest collections of music manuscripts in the country. In addition to a large collection of musicians' letters and first editions of scores and librettos, it has the world's largest collection of Mahler manuscripts and substantial holdings of Brahms, Chopin, Debussy, Mozart, Schubert, and Richard Strauss. The collection spans six centuries and many co read more...	http://www.nyc.com/events/music_manuscripts__printed_music__morgan_library__museum.1039099/editorial_review.aspx	0
Patti Smith	Morgan Library and Museum	225 Madison Avenue,	New York, NY, 10016	Sep 15, 10:30 AM	Hall of Famer Patti Smith continues to tour well into her storied and acclaimed career of music, writing, art and touring with her band.	http://www.nyc.com/events/patti_smith.1041999/editorial_review.aspx	128.0
Private Dance Lesson SALE: $45 Individual OR $55 Couple; Expires 9/30	ROY ARIAS DANCE STUDIOS	218 WEST 37th STREET ,	NEW YORK, N.Y., 10018	Sep 15, 12:00 PM	Lock-In on the Special Limited Time Offer of the SALE Price on the Private Dance Lessons. Pre-paid programs allow us to reserve time for you on our calendar. You have until Friday, December 31, 2010 to use the private lesson hours. These lessons may be used in whatever manner fits your schedule. Book early for best selection of dates & times.     Experienced Professional Dance Instructor with 12 Y read more...	http://www.nyc.com/events/private_dance_lesson_sale_45_individual_or_55_couple_expires_930.1067059/editorial_review.aspx	45.0
Wedding Dance Lesson Or First Dance Choreography for $55-$65; SALE Ends 9/30	ROY ARIAS DANCE STUDIOS	218 WEST 37th STREET ,	NEW YORK, N.Y., 10018	Sep 15, 12:00 PM	If you have planned all the details for the perfect wedding, it is time to think about making your first dance together just as perfect. You'd better not leave it to chance! Our Dance Studio works exclusively with brides and grooms, their families and friends and we create hundreds of uniquely choreographed wedding dances each year. Wedding packages consist of a series of private lessons which are read more...	http://www.nyc.com/events/wedding_dance_lesson_or_first_dance_choreography_for_5565_sale_ends_930.1067058/editorial_review.aspx	55.0
Million Dollar Quartet	Nederlander Theater	208 W 41st St,	New York, NY, 10036	Sep 15, 2:00 PM	On December 4, 1956, Elvis Presley, Johnny Cash, Jerry Lee Lewis and Carl Perkins gathered at Sun Records in Memphis for what would be one of the greatest jam sessions ever. Million Dollar Quartet brings that legendary night to life, featuring a score of rock hits that includes "Blue Suede Shoes," "Fever," "That's All Right," "Sixteen Tons," "Great Balls of Fire," "Walk the Line," "Whole Lotta Sha read more...	http://www.nyc.com/events/million_dollar_quartet.1038505/editorial_review.aspx	76.0
Sean "Diddy" Combs & Friends July 4th 13 Hour Celebrity Pool Party Bash in Atlantic City, NJ				Sep 15, 3:00 PM	Sean "Diddy" Combs 13 Hour Pool Party Bash 4th of July Celebration  Start Time:   Sunday, July 4, 2010 at 3:00pm  End Time:   Monday, July 5, 2010 at 4:00am  Location:   The Pool at Harrah's in Atlantic City, NJ  Street:   777 Harrah's Boulevard  City/Town:   Atlantic City, NJ  View Map  Description     CALL ME FOR TICKETS 702-503-2172  ****TICKETS IN HAND FOR SALE $50 NOW BEFORE PRICES RISE****** read more...	http://www.nyc.com/events/sean_quotdiddyquot_combs_amp_friends_july_4th_13_hour_celebrity_pool_party_bash_in_atlantic_city_nj.1060633/editorial_review.aspx	0
Visual Arts and Jazzfest 2010--Jazz Moods and Melodies				Sep 15, 3:00 PM	A two and a half month long exhibition dedicated to jazz music, presented in over five venues in Manhattan and Brooklyn (Dorsey's Art Gallery, Blue Gem/Dr. English Building (The Paul Robeson Annex), Citibank Financial Center @ 144th St, Con Edison Lobby Gallery, & the Harlem Branch Library), including gallery talks, music/live art performances, panel discussions, an art/mural workshop at the Harle read more...	http://www.nyc.com/events/visual_arts_and_jazzfest_2010jazz_moods_and_melodies.1065268/editorial_review.aspx	0
New York Chamber Music Festival	Symphony Space	2537 Broadway,	New York, NY, 10025	Sep 15, 5:00 PM	New York Chamber Music Festival	http://www.nyc.com/events/new_york_chamber_music_festival.1063253/editorial_review.aspx	56.0
Reggae Wednesday's	Negril Village	70 W 3rd St,	New York, NY, 10012	Sep 15, 6:00 PM	Join us every Wednesday  @ Negril Village for live reggae music, drink specials, and great food. Featuring the New Kingston Band.    No Cover. Make your reservations today!	http://www.nyc.com/events/reggae_wednesdays.1049829/editorial_review.aspx	0
Open Mic at Spike Hill	Spike Hill	184 Bedford Ave,	Brooklyn, NY, 11211	Sep 15, 6:30 PM	Join Spike Hill for a night of local talent.	http://www.nyc.com/events/open_mic_at_spike_hill.1039628/editorial_review.aspx	0
Kamelot	Nokia Theatre Times Square	1515 Broadway,	New York, NY, 10036	Sep 15, 7:00 PM	Kamelot	http://www.nyc.com/events/kamelot.1051901/editorial_review.aspx	50.0
Mystery Jets	The Mercury Lounge	217 E Houston St,	New York, NY, 10002	Sep 15, 7:00 PM	Mystery Jets	http://www.nyc.com/events/mystery_jets.1062700/editorial_review.aspx	259.0
The Cringe	Klub Europa	98 Meserole Ave,	Brooklyn, New York, 11222	Sep 15, 7:00 PM	The Cringe	http://www.nyc.com/events/the_cringe.1062852/editorial_review.aspx	26.0
Toadies	Blender Theatre At Gramercy	127 East 23rd Street,	New York, New York, 10010	Sep 15, 7:00 PM	Toadies	http://www.nyc.com/events/toadies.1065304/editorial_review.aspx	253.0
Alex Terrier & Camila Meza @ Antibes Live Jazz	Antibes Bistro	112 Suffolk St,	New York, NY, 10002	Sep 15, 7:30 PM	Alex Terrier & Camila Meza  @ Antibes Live Jazz Weekly  Wednesday, August 4th  7:30pm     We had such a great time at last week's performance that we've invited saxophonist Alex Terrier to return to Antibes Bistro, along with the velvet sounds of Chilean singer and guitarist Camila Meza.  Join us any Tuesday or Wednesday at the latest spot for live jazz in LES, as always with great food, great win read more...	http://www.nyc.com/events/alex_terrier_amp_camila_meza__antibes_live_jazz.1064231/editorial_review.aspx	0
Alex Terrier Trio	Antibes Live Jazz			Sep 15, 7:30 PM	Antibes Bistro is proud to host the talented and acclaimed saxophonist Alex Terrier with his trio this Wednesday evening at 7:30pm.  Alex has played throughout the city with rave reviews, and we are all lucky for the opportunity to enjoy his performance in the intimate   atmosphere of Antibes!  Join us any Tuesday or Wednesday at the latest spot for live jazz in LES, as always with great food, gre read more...	http://www.nyc.com/events/alex_terrier_trio__antibes_live_jazz.1063276/editorial_review.aspx	0
